Company Name,Founded,Sector,Revenue
Acme Corp,1995,Technology,5000000
Beta Ltd,2000,Finance,7000000
Gamma Inc,2010,Healthcare,3000000
Delta Corp,2005,Energy,4000000
Zeta Enterprises,2012,Technology,6000000
Omega Technologies,2008,Healthcare,2000000
Sigma Industries,2015,Finance,8000000
Alpha Co,1990,Energy,10000000
Beta Ltd,2000,Finance,7000000
Omega Technologies,2008,Healthcare,2500000
Gamma Inc,2010,Healthcare,3500000
Zeta Enterprises,2012,Technology,6500000
Delta Corp,2005,Energy,4200000
Acme Corp,1995,Technology,5100000
Alpha Co,1990,Energy,10200000
Sigma Industries,2015,Finance,7800000
Gamma Inc,2010,Healthcare,3300000
Delta Corp,2005,Energy,4300000
Omega Technologies,2008,Healthcare,2300000
Acme Corp,1995,Technology,5200000
Zeta Enterprises,2012,Technology,6600000
Sigma Industries,2015,Finance,7900000
Alpha Co,1990,Energy,10300000
Beta Ltd,2000,Finance,7100000
Delta Corp,2005,Energy,4400000
Zeta Enterprises,2012,Technology,6700000
Omega Technologies,2008,Healthcare,2400000
Gamma Inc,2010,Healthcare,3400000
Acme Corp,1995,Technology,5300000
Beta Ltd,2000,Finance,7050000
Gamma Inc,2010,Healthcare,3100000
Sigma Industries,2015,Finance,7850000
Alpha Co,1990,Energy,10250000
Zeta Enterprises,2012,Technology,6400000
Delta Corp,2005,Energy,4205000
Omega Technologies,2008,Healthcare,2200000
Gamma Inc,2010,Healthcare,3005000
Zeta Enterprises,2012,Technology,6750000
Sigma Industries,2015,Finance,8005000
Alpha Co,1990,Energy,10350000
Beta Ltd,2000,Finance,7105000
Delta Corp,2005,Energy,4330000
Acme Corp,1995,Technology,5255000
Gamma Inc,2010,Healthcare,3505000
Sigma Industries,2015,Finance,7920000
Omega Technologies,2008,Healthcare,2505000
Zeta Enterprises,2012,Technology,6305000
Alpha Co,1990,Energy,10300000
Acme Corp,1995,Technology,5150000
Beta Ltd,2000,Finance,7055000
Sigma Industries,2015,Finance,7830000
Delta Corp,2005,Energy,4500000
Gamma Inc,2010,Healthcare,3400000
Omega Technologies,2008,Healthcare,2405000
Zeta Enterprises,2012,Technology,6350000
Alpha Co,1990,Energy,10200000
Gamma Inc,2010,Healthcare,3105000
Sigma Industries,2015,Finance,7860000
Acme Corp,1995,Technology,5205000
Zeta Enterprises,2012,Technology,6655000
Delta Corp,2005,Energy,4305000
Omega Technologies,2008,Healthcare,2205000
Acme Corp,1995,Technology,5305000
Alpha Co,1990,Energy,10300000
Gamma Inc,2010,Healthcare,3205000
Sigma Industries,2015,Finance,7950000
Delta Corp,2005,Energy,4405000
Omega Technologies,2008,Healthcare,2500000
Zeta Enterprises,2012,Technology,6755000
Acme Corp,1995,Technology,5155000
Gamma Inc,2010,Healthcare,3100000
Alpha Co,1990,Energy,10350000
Beta Ltd,2000,Finance,7050000
Sigma Industries,2015,Finance,7800000
Zeta Enterprises,2012,Technology,6500000
Omega Technologies,2008,Healthcare,2200000
Acme Corp,1995,Technology,5250000
Delta Corp,2005,Energy,4400000
Gamma Inc,2010,Healthcare,3200000
Sigma Industries,2015,Finance,7950000
Zeta Enterprises,2012,Technology,6700000
Alpha Co,1990,Energy,10250000
Omega Technologies,2008,Healthcare,2300000
Gamma Inc,2010,Healthcare,3500000
Sigma Industries,2015,Finance,8000000
Zeta Enterprises,2012,Technology,6600000
Acme Corp,1995,Technology,5200000
Delta Corp,2005,Energy,4450000
Alpha Co,1990,Energy,10300000
Gamma Inc,2010,Healthcare,3300000
Sigma Industries,2015,Finance,7850000
Zeta Enterprises,2012,Technology,6450000
Omega Technologies,2008,Healthcare,2400000
Acme Corp,1995,Technology,5100000
Beta Ltd,2000,Finance,7000000
Gamma Inc,2010,Healthcare,3200000
Sigma Industries,2015,Finance,7900000
Zeta Enterprises,2012,Technology,6300000
Alpha Co,1990,Energy,10200000
Delta Corp,2005,Energy,4200000
Omega Technologies,2008,Healthcare,2305000
Gamma Inc,2010,Healthcare,3500000
Sigma Industries,2015,Finance,7925000
Acme Corp,1995,Technology,5150000
Zeta Enterprises,2012,Technology,6355000
Omega Technologies,2008,Healthcare,2205000
Gamma Inc,2010,Healthcare,3000000
Delta Corp,2005,Energy,4300000
Zeta Enterprises,2012,Technology,6755000
